Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes"
,Fort Pulaski National Monument,,,,,,,,"US-80, Cockspur Island, Savannah, GA 31410",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Tybee Island Light Station And Museum,,,,,,,,"30 Meddin Drive, Tybee Island, GA 31328",,,Tybee Island,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Tybee Community Center,,,,Tybee Island Guard House,,,,"31 Van Horne Avenue, Tybee Island, GA 31328",,,Tybee Island,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Tybee Island Historical Society,,,,,,,,"30 Meddin Drive, Tybee Island, GA 31328",,,Tybee Island,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Tybee Island Marine Science Center,,,,,,,,"1509 Strand Avenue, Tybee Island, GA 31328",,,Tybee Island,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Tybee Island YMCA,,,,,,,,"204 Fifth Street, Tybee Island, GA 31328",,,Tybee Island,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Oatland Island Education Center,,,,Oatland Island Wildlife Center,,,,"711 Sandtown Road, Savannah, GA 31410",,,Chat-Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Islands Branch Library,,,,Islands Library,,,,"50 Johnny Mercer Boulevard, Savannah, GA 31410",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Skidaway Institute of Oceanography Library,,,,Skidaway Oceanography Library,,,,"10 Ocean Science Circle, Savannah, GA 31411",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,University of Georgia - Skidaway Aquarium,,,,UGA Marine Education Center and Aquarium,,,,"30 Ocean Science Circle, Savannah, GA 31411",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Bethesda Academy,,,,Bethesda Museum,,,,"9520 Ferguson Avenue, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Wormsloe Historic Site,,,,Wormsloe State Historic Site,,,,"7601 Skidaway Road, Savannah, GA 31406",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Savannah Botanical Garden,,,,Chatham County Botanical Garden,,,,"1388 Eisenhower Drive, Savannah, GA 31406",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Thunderbolt Branch Library,,,,,,,,"2708 Mechanics Avenue, Thunderbolt, GA 31404",,,Thunderbolt,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Thunderbolt Museum Society,,,,Thunderbolt Museum,,,,"2702 Mechanics Avenue, Thunderbolt, GA 31404",,,Thunderbolt,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Mercer Williams House Museum,,,,,,,,"429 Bull Street, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Georgia Historical Society,,,,,,,,"501 Whitaker Street, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Round House Complex,,,,,,,,"MLK, Jr. and Louisville Road, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Old Fort Jackson,,,,,,,,"1 Fort Jackson Road, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Juliette Gordon Low Birthplace,,,,,,,,"10 East Oglethorpe Avenue, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Hurn Museum of Contemporary Folk Art,,,,,,,,"10 West Taylor Street, Savannah, GA 3140",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
,Telfair Academy,,,,,,,,"121 Barnard St, Savannah, GA 31401",,,Savannah,,,,,,Georgia,,,United States of America,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"",""
